name,category,subcategory,description,featured
Rubensian.com,Brandable,Luxury,"Refined brandable suited for premium design, fashion, or boutique ventures.",false
MaidRoster.com,SaaS,Operations,"Clear utility name for staffing, scheduling, or home-service workforce platforms.",false
Pay.Barcelona,Fintech,Geo,"Strong geo-fintech brand for Barcelona payment, commerce, or merchant tooling products.",false
CrochetGuild.com,Niche,Community / Hobby,"Ideal for craft communities, course platforms, or maker marketplaces.",false
VisitRiyadhExpo2030.com,Travel,Event,Event-forward geo domain aligned with Riyadh Expo intent and tourism initiatives.,false
VisitRiyadhExpo.com,Travel,Event,"Memorable destination domain for Expo-related updates, guides, or booking funnels.",false
TrojenaTourGuide.com,Travel,Guide,"Direct-match tourism brand for Trojena itinerary, tours, and booking content.",false
TYield.com,Fintech,Analytics,"Yield-focused brandable for DeFi, farming, or investment optimization platforms.",false
Witchingly.com,Brandable,Creative,"Distinctive creative brand for media, storytelling, lifestyle, or digital products.",false
Multipersonal.com,Brandable,SaaS,"Multi-tenant brandable for HR, identity, or workforce management platforms.",false
DraftPicksAI.com,AI,Sports,Sports analytics and draft intelligence brand with immediate AI relevance.,false
Teammates.online,SaaS,Community / Operations,"Team-collaboration .online domain for sports squads, co-working, or workforce platforms.",false
Treynt.com,Brandable,SaaS,"Short brandable .com for venture-backed startups, SaaS, or fintech products.",false
Othmany.com,Brandable,MENA,"Heritage-rooted brandable suited for MENA-focused commerce, media, or family-office ventures.",false
Dragonfall.com,Gaming / Media,Gaming,"High-impact fantasy brand suitable for gaming, media, or entertainment IP.",false
CFACareers.com,Education,Finance,"Direct-match domain for CFA exam prep, finance career portals, and recruitment platforms.",false
Quantoly.com,Fintech,Analytics,"Quant-oriented brandable for data science, investing, or analytics software.",false
CryptoGuide.ai,AI,Crypto,Clear AI + crypto education and insights positioning with strong keyword clarity.,false
SquidStation.com,Gaming / Media,Gaming,"Energetic brand for gaming, esports, or creator platforms with strong visual identity.",false
NetsBot.com,AI,Automation,"Automation-forward brand for chatbots, AI agents, or bot marketplace platforms.",false
Farmer.fyi,Niche,Agritech,"Information-style domain for agritech newsletters, farming guides, or rural community content.",false
